sid,uzivatel_sid,verejny_cinnitel_sid,"fun_politicka_funkcia","fun_funkcne_obdobie_od","fun_funkcne_obdobie_do","fun_kandidoval_strana"
606,211,600,"žiadna","","","SaS"
607,211,601,"žiadna","","","SaS"
608,160,602,"žiadna","","","SAS"
609,364,604,"starosta MČ Košice Staré mesto","1994","2006","NEKA"
610,251,605,"kandidát na poslanca do VUC PSK","2009","","SaS"
611,150,177,"poslanec","","","SaS"
612,223,249,"žiadna","","","žiadna"
613,364,606,"starosta MČ Košice Staré mesto","1994","2006","NEKA"
614,228,607,"bez verejnej funkcie","","","SaS"
615,150,608,"poslanec","","","SaS"
616,309,335,"bez verejnej funkcie ","","","Sloboda a solidarita"
617,309,609,"bez verejnej funkcie ","","","Sloboda a solidarita"
618,309,610,"bez verejnej funkcie ","","","Sloboda a solidarita"
619,222,611,"bez verejnej funkcie","","","SaS"
620,357,612,"starosta obce Kolíňany ","2007","","KDH / SMK - MKP"
621,224,613,"člen SDKÚ","2003","2005","SDKÚ"
622,318,344,"nie","2008","","SaS -sympatizant"
623,318,614,"nie","2008","","SaS -sympatizant"
624,90,117,"kandidát na poslanca KSK","2009",""," Sloboda a Solidarita"
625,321,615,"bez verejnej funkcie","","","Strana Sloboda a Solidarita"
626,241,616,"bez verejnej funkcie","","","SaS"
627,205,617,"kandidát za poslanca VÚC","","","Sloboda a Solidarita"
628,90,618,"kandidát na poslanca KSK","2009",""," Sloboda a Solidarita"
629,171,619,"poslanec SNR 1990-1992","","1993","VPN - ODU"
630,338,364,"sympatizant strany","","","SaS"
631,338,620,"sympatizant strany","","","SaS"
633,348,622,"poslanec NRSR","2006","","SDKÚ-DS"
634,348,623,"poslanec NRSR","2006","","SDKÚ-DS"
635,294,624,"nemám","","","SaS"
636,205,625,"kandidát za poslanca VÚC","","","Sloboda a Solidarita"
637,214,240,"bez verejnej funkcie","","","Sloboda a Solidarita"
640,81,108,"člen republikovej rady SaS","2009","","Hnutie Vpred - nečlen strany, kandidát na poslanca zastupiteľstva Bratislavského samosprávneho kraja v roku 2005 "
642,201,227,"bez verejnej funkcie","","","SAS"
939,360,834,"bez verejnej funkcie","","","nič"
644,298,324,"kandidát na poslanca VUC","","","Sloboda a Solidarita"
