"sid","uzivatel_sid","verejny_cinnitel_sid","str_strana","str_funkcia_strana","str_funkcne_obdobie_od","str_funkcne_obdobie_do","poznamky","str_nazov"
901,377,823,"KDS","bez verejnej funkcie",2008,"",NULL,"Konzervatívni demokrati Slovenska"
902,377,826,"KDS","bez verejnej funkcie",2008,"","","Konzervatívni demokrati Slovenska"
903,377,826,"KDS","bez verejnej funkcie",2008,"","","Konzervatívni demokrati Slovenska"
904,377,826,"KDS","bez verejnej funkcie",2008,"","","Konzervatívni demokrati Slovenska"
905,377,826,"KDS","bez verejnej funkcie",2008,"","","Konzervatívni demokrati Slovenska"
906,380,827,"Nečlen","","","",NULL,"Nie som členom žiadnej strany"
907,380,828,"Nečlen","","","","","Nie som členom žiadnej strany"
908,380,829,"Nečlen","","","","","Nie som členom žiadnej strany"
909,195,830,"SP","",2009,2009,"","Strana práce"
910,195,831,"SP","",2009,2009,"","Strana práce"
912,95,833,"SaS","člen",2009,"","","Sloboda a Solidarita"
